i,ts,lead_h,obs_lat,obs_lon,obs_kt,obs_cat,pred_lat,pred_lon,pred_kt,pred_kt_q10,pred_kt_q90,true_lat,true_lon,true_kt,err_km,pers_err_km,kt_err,pers_kt_err,in_cone
9,2019-04-28 00:00:00+00:00,18,7.1,88.1,45.0,CS,8.792987535669633,87.04681817261086,54.30710916310324,44.966006561956654,67.66736768382377,8.2,87.5,45.0,82.40742034015902,79.82914703083206,9.307109163103242,0.0,True
9,2019-04-28 00:00:00+00:00,24,7.1,88.1,45.0,CS,9.220956110050388,87.0915138536021,59.0114851968582,44.378415890766476,67.57774930004595,8.6,87.4,45.0,76.60198463970907,113.99849763897994,14.011485196858203,0.0,True
10,2019-04-28 06:00:00+00:00,6,7.4,88.1,45.0,CS,7.757501141848188,88.09182179945766,45.0,43.97616096761567,58.87006459213555,8.0,87.6,45.0,60.50456664373261,64.35395110559683,0.0,0.0,False
10,2019-04-28 06:00:00+00:00,12,7.4,88.1,45.0,CS,8.321993062337846,88.08084372352847,48.688074628760525,41.42816075854059,61.93966794737843,8.2,87.5,45.0,65.39957367627201,69.73134587903397,3.688074628760525,0.0,True
10,2019-04-28 06:00:00+00:00,18,7.4,88.1,45.0,CS,8.793340375403414,88.14309980586587,54.76608822700709,44.76623508816828,66.03778419041655,8.6,87.4,45.0,84.52611765237026,83.92187668585098,9.766088227007089,0.0,True
10,2019-04-28 06:00:00+00:00,24,7.4,88.1,45.0,CS,9.211512989609428,88.3201695515349,58.87023711284729,44.1128496275107,67.71421468017132,9.3,87.2,45.0,123.47226179506464,125.66129260453573,13.870237112847292,0.0,True
11,2019-04-28 12:00:00+00:00,6,8.0,87.6,45.0,CS,8.557601258334854,87.09787713562827,45.0,41.407974486139594,51.95911593603894,8.2,87.5,45.0,59.37799953495962,62.48814267539514,0.0,0.0,False
11,2019-04-28 12:00:00+00:00,12,8.0,87.6,45.0,CS,9.095681314640867,86.79696403084799,46.755806931404145,43.04856983582922,55.646948024722924,8.6,87.4,45.0,86.05792743096336,110.43081158202551,1.7558069314041447,0.0,False
11,2019-04-28 12:00:00+00:00,18,8.0,87.6,45.0,CS,9.59291383042954,86.34502551774713,48.09860771925779,43.6853717777215,57.543348408207756,9.3,87.2,45.0,99.3252115042128,133.43729145248807,3.0986077192577923,0.0,True
11,2019-04-28 12:00:00+00:00,24,8.0,87.6,45.0,CS,9.778917741277047,86.24312951697706,54.63813569774386,37.33199383535952,57.65305120538622,10.2,87.1,55.0,104.86054797034787,167.13319890224142,-0.3618643022561372,-10.0,True
12,2019-04-28 18:00:00+00:00,6,8.2,87.5,45.0,CS,8.428148449529242,87.38948672661236,45.0,41.6462959666214,50.503763114592246,8.6,87.4,45.0,19.04175864358569,22.119961482745843,0.0,0.0,True
12,2019-04-28 18:00:00+00:00,12,8.2,87.5,45.0,CS,8.932367951978241,87.33674398974499,46.963152112770985,42.69060858395397,55.13659506890063,9.3,87.2,45.0,43.350278389960906,78.19832799387804,1.9631521127709846,0.0,True
12,2019-04-28 18:00:00+00:00,18,8.2,87.5,45.0,CS,9.25418057954338,87.270113005918,48.97594926330113,43.90801621342276,58.485539457027336,10.2,87.1,55.0,106.26556777179587,155.24155984663747,-6.024050736698868,-10.0,True
12,2019-04-28 18:00:00+00:00,24,8.2,87.5,45.0,CS,9.47864421581002,87.2929379683855,56.675490235437756,37.36123608476905,55.86500819972459,10.9,86.8,55.0,166.23430165369527,212.71854175116252,1.6754902354377563,-10.0,False
13,2019-04-29 00:00:00+00:00,6,8.6,87.4,45.0,CS,9.025127410348466,87.27911410920703,45.0,41.61727596553214,50.94019973975049,9.3,87.2,45.0,31.62062944047401,34.95099735764149,0.0,0.0,True
13,2019-04-29 00:00:00+00:00,12,8.6,87.4,45.0,CS,9.505767520373142,87.17641300720189,48.55103528243184,43.03747675456494,54.426192549793896,10.2,87.1,55.0,77.2429235471665,89.16268665817711,-6.44896471756816,-10.0,False
13,2019-04-29 00:00:00+00:00,18,8.6,87.4,45.0,CS,9.827562369439795,87.14967582726986,49.86071189812378,44.79538257325321,58.43715445559547,10.9,86.8,55.0,124.65057768118729,126.01541318100827,-5.139288101876218,-10.0,False
13,2019-04-29 00:00:00+00:00,24,8.6,87.4,45.0,CS,10.174862131041815,87.1575735937841,55.22014112893482,36.7872908756677,56.371870413406455,11.8,86.5,70.0,193.59678324630198,185.1962940321311,-14.77985887106518,-25.0,False
