i,ts,lead_h,obs_lat,obs_lon,obs_kt,obs_cat,pred_lat,pred_lon,pred_kt,pred_kt_q10,pred_kt_q90,true_lat,true_lon,true_kt,err_km,pers_err_km,kt_err,pers_kt_err,in_cone
29,2019-05-03 00:00:00+00:00,18,19.1,85.5,105.0,ESCS,21.427065875887134,88.02461432009153,73.18060168110284,47.28883801063122,103.02942989538218,22.1,87.4,55.0,98.61960487640079,77.50487797456019,18.180601681102843,50.0,True
29,2019-05-03 00:00:00+00:00,24,19.1,85.5,105.0,ESCS,22.146990078327796,88.989820302664,65.21202078611665,37.57261132683095,106.54892214652392,23.2,88.5,40.0,127.01025150989192,140.8733923637296,25.212020786116653,65.0,True
30,2019-05-03 06:00:00+00:00,6,20.2,85.9,85.0,VSCS,21.257509721000204,86.384765173026,71.90522338882336,54.151624419423975,85.62448158557582,21.2,86.5,70.0,13.55175291897168,23.25329025983701,1.9052233888233587,15.0,True
30,2019-05-03 06:00:00+00:00,12,20.2,85.9,85.0,VSCS,22.224822172350564,87.13976795100824,61.32599273346224,39.86613720787223,83.0712699989412,22.1,87.4,55.0,30.191140718503743,78.26087180241619,6.325992733462243,30.0,True
30,2019-05-03 06:00:00+00:00,18,20.2,85.9,85.0,VSCS,22.840183013919635,88.28954441042899,49.42872395406876,31.80211575681446,77.97329617138416,23.2,88.5,40.0,45.31269046262951,144.15124594472485,9.428723954068758,45.0,True
30,2019-05-03 06:00:00+00:00,24,20.2,85.9,85.0,VSCS,23.61506500060812,89.29912570157816,40.51596806646753,24.95118682349112,83.8842425776133,24.4,89.5,25.0,89.3081143624737,198.82987102901726,15.51596806646753,60.0,True
31,2019-05-03 12:00:00+00:00,6,21.2,86.5,70.0,VSCS,22.194481200603153,87.1852700546076,56.33046394477943,42.218683551997785,70.52340289531315,22.1,87.4,55.0,24.49695656560062,32.457469853608224,1.3304639447794315,15.0,True
31,2019-05-03 12:00:00+00:00,12,21.2,86.5,70.0,VSCS,23.084388972139163,88.17460809273034,45.74095272091273,28.14639960860957,69.2083453705541,23.2,88.5,40.0,35.69986445988027,80.1657981091772,5.7409527209127305,30.0,True
31,2019-05-03 12:00:00+00:00,18,21.2,86.5,70.0,VSCS,23.877457702403298,89.54904603964175,38.81674046757721,17.394448619922976,66.17614861647725,24.4,89.5,25.0,58.091202286849885,120.10585813959293,13.816740467577212,45.0,True
31,2019-05-03 12:00:00+00:00,24,21.2,86.5,70.0,VSCS,24.9459794392915,90.79921557643432,31.965670620519255,13.450514067062677,69.80557277736696,25.2,90.7,20.0,29.866261921379394,174.3325942322081,11.965670620519255,50.0,True
32,2019-05-03 18:00:00+00:00,6,22.1,87.4,55.0,SCS,22.95065887891749,88.43243721268018,41.33046394477943,31.816379432030413,59.24170521248465,23.2,88.5,40.0,28.46787854788202,29.78612827643697,1.3304639447794315,15.0,True
32,2019-05-03 18:00:00+00:00,12,22.1,87.4,55.0,SCS,23.7102123598944,89.66617099773345,29.18025424669346,22.96969688792538,56.482683384857225,24.4,89.5,25.0,78.24723197893385,62.661263445701046,4.180254246693458,30.0,False
32,2019-05-03 18:00:00+00:00,18,22.1,87.4,55.0,SCS,24.339008241859776,91.19224519380747,26.753603514869482,25.11083872237558,52.08601249578519,25.2,90.7,20.0,107.583275864162,71.89081334319002,6.753603514869482,35.0,True
33,2019-05-04 00:00:00+00:00,6,23.2,88.5,40.0,CS,24.236212709278455,89.74628155465757,27.561217765609573,23.5683242675005,44.22967468254415,24.4,89.5,25.0,30.88680774556782,15.70132687070656,2.561217765609573,15.0,True
33,2019-05-04 00:00:00+00:00,12,23.2,88.5,40.0,CS,24.945362903827537,91.0278553022025,21.304167836667627,17.891646303880037,41.50048511530886,25.2,90.7,20.0,43.47140668973204,21.484924403722093,1.3041678366676273,20.0,True
34,2019-05-04 06:00:00+00:00,6,24.4,89.5,25.0,D,25.448902847100523,90.63479442662688,24.85375,19.32316217474699,29.553598691163934,25.2,90.7,20.0,28.343697721129658,48.23126985772926,4.853750000000002,5.0,True
